platform,budget_action,campaigns,total_spend,total_profit,avg_roas,avg_cpa,total_platform_campaigns,campaign_share
Facebook,Increase Budget,1037,3617626.83,59021621.17,19.849054966248797,38.81056894889103,2527,0.4103680253264741
Facebook,Review,744,2200889.15,4229540.27,3.0093682795698924,200.21904569892473,2527,0.29442026117926395
Facebook,Hold,387,448991.52,949997.79,6.050413436692507,60.225400516795865,2527,0.15314602295211713
Facebook,Reduce Budget,359,547869.95,-230163.55,0.33072423398328693,238.17632311977718,2527,0.14206569054214482
Google Ads,Review,1140,7458085.91,14021464.61,2.8624473684210527,219.05109649122807,2933,0.38868053187862256
Google Ads,Increase Budget,916,6013975.37,65749649.89,13.693951965065501,48.61139737991267,2933,0.31230821684282306
Google Ads,Reduce Budget,657,3475671.36,-1437950.97,0.506468797564688,488.1858447488584,2933,0.22400272758267986
Google Ads,Hold,220,1059111.44,1508790.91,3.486681818181818,71.90122727272727,2933,0.07500852369587453
Instagram,Increase Budget,304,1484652.77,22183997.69,18.624901315789476,40.949440789473684,830,0.36626506024096384
Instagram,Review,288,1016467.76,1812149.32,2.9142708333333336,213.01069444444445,830,0.3469879518072289
Instagram,Reduce Budget,160,354507.44,-154424.4,0.3861875,338.97556249999997,830,0.1927710843373494
Instagram,Hold,78,111554.24,232452.68,4.996025641025641,67.10564102564102,830,0.09397590361445783
LinkedIn,Review,600,4302642.63,7102371.7,2.6236333333333333,253.26438333333334,1468,0.4087193460490463
LinkedIn,Reduce Budget,577,3398936.02,-1671642.92,0.43925476603119584,670.2405719237435,1468,0.3930517711171662
LinkedIn,Increase Budget,237,2003568.91,17218236.79,10.553924050632912,59.24962025316456,1468,0.1614441416893733
LinkedIn,Hold,54,375725.05,585856.17,2.7192592592592595,73.54370370370371,1468,0.03678474114441417
TikTok,Increase Budget,473,1568547.35,29311297.02,23.069175475687103,38.549915433403804,1213,0.38994229183841717
TikTok,Review,338,848134.09,1598675.96,2.9428106508875738,195.45112426035502,1213,0.2786479802143446
TikTok,Reduce Budget,207,390885.77,-142392.39,0.41526570048309175,254.57623188405796,1213,0.17065127782357792
TikTok,Hold,195,263713.71,511135.37,5.985179487179487,61.4523076923077,1213,0.16075845012366036
Twitter,Increase Budget,330,1063715.07,16195464.65,19.398424242424245,39.449,1029,0.3206997084548105
Twitter,Review,324,906661.35,1795798.44,3.0139506172839505,202.55858024691358,1029,0.31486880466472306
Twitter,Reduce Budget,209,316978.3,-113466.53,0.35129186602870816,251.0833971291866,1029,0.2031098153547133
Twitter,Hold,166,226749.8,423585.01,6.14722891566265,60.64198795180723,1029,0.16132167152575316
