campaign_id,platform,campaign_objective,ad_placement,device_type,creative_format,retargeting_flag,quarter,impressions,clicks,conversions,ad_spend,revenue,profit,CTR,CPC,conversion_rate,CPA,ROAS,budget_action
CAMP_00591,TikTok,Brand Awareness,Stories,Desktop,Video,False,4,500000,24390,4474,49999.5,2800397.43,2750397.93,4.878,2.05,18.344,11.18,56.01,Increase Budget
CAMP_03998,Facebook,Lead Generation,Stories,Desktop,Interactive,False,4,457066,25382,3898,37819.18,2231447.67,2193628.49,5.553,1.49,15.357,9.7,59.0,Increase Budget
CAMP_08879,Google Ads,Lead Generation,Stories,Desktop,Interactive,True,4,207582,5973,1368,49994.01,2089944.93,2039950.92,2.877,8.37,22.903,36.55,41.8,Increase Budget
CAMP_05004,Google Ads,Lead Generation,Sidebar,Desktop,Video,False,2,500000,20308,5077,48333.04,1990489.74,1942156.7,4.062,2.38,25.0,9.52,41.18,Increase Budget
CAMP_07529,Twitter,Conversions,Stories,Desktop,Carousel,True,4,429000,26684,2100,47497.52,1822157.7,1774660.18,6.22,1.78,7.87,22.62,38.36,Increase Budget
CAMP_06647,Instagram,App Installs,Display Network,Desktop,Image,True,3,209965,6963,1410,14970.45,1750031.4,1735060.95,3.316,2.15,20.25,10.62,116.9,Increase Budget
CAMP_08553,Facebook,Conversions,Feed,Desktop,Image,False,4,293294,22418,2133,29591.76,1389697.14,1360105.38,7.644,1.32,9.515,13.87,46.96,Increase Budget
CAMP_03871,TikTok,Lead Generation,Stories,Desktop,Video,False,1,439134,16528,1979,19998.88,1258308.08,1238309.2,3.764,1.21,11.974,10.11,62.92,Increase Budget
CAMP_04031,Facebook,Conversions,Sidebar,Desktop,Image,False,1,371321,15493,2634,30831.07,1263292.71,1232461.64,4.172,1.99,17.001,11.71,40.97,Increase Budget
CAMP_06844,TikTok,Brand Awareness,Feed,Desktop,Video,True,4,277747,22123,2816,49997.98,1234132.79,1184134.81,7.965,2.26,12.729,17.75,24.68,Increase Budget
CAMP_07809,Google Ads,Lead Generation,Feed,Desktop,Image,True,4,325748,4349,674,12612.1,1178085.86,1165473.76,1.335,2.9,15.498,18.71,93.41,Increase Budget
CAMP_06465,Google Ads,Conversions,Feed,Desktop,Carousel,True,1,332651,8563,1243,33995.11,1142772.75,1108777.64,2.574,3.97,14.516,27.35,33.62,Increase Budget
